skill_count,matched_role_skills,ats_score,jd_similarity,experience_years,action_verbs,achievements,pages,section_score,shortlisted
20,14,90.1,0.173,13.4,14,8,2,0.141,1
17,15,63.1,0.232,12.1,9,4,2,0.107,0
23,19,42.6,0.368,0.1,14,4,1,0.989,0
26,0,54.0,0.181,4.8,12,8,2,0.693,0
28,9,23.0,0.92,6.3,13,7,3,0.429,1
27,7,30.2,0.105,3.4,16,6,2,0.523,0
15,17,81.2,0.535,3.0,12,7,3,0.34,0
11,0,20.0,0.211,0.6,9,5,1,0.41,0
17,1,53.3,0.377,9.7,0,2,2,0.684,0
15,0,61.8,0.933,3.9,0,6,3,0.895,1
3,0,24.4,0.246,0.8,14,7,2,0.266,0
27,8,97.8,0.969,3.5,15,7,2,0.856,1
9,12,38.1,0.285,12.0,11,0,2,0.209,0
11,0,44.3,0.767,12.8,5,6,2,0.293,0
26,12,44.3,0.592,7.2,5,2,1,0.133,0
3,19,38.4,0.896,6.2,11,1,3,0.227,0
14,6,20.1,0.599,14.7,14,1,2,0.926,0
10,1,78.3,0.581,3.0,3,7,3,0.513,0
26,5,97.3,0.276,3.2,3,8,1,0.17,1
13,6,37.9,0.25,4.4,1,2,3,0.964,0
21,13,73.0,0.925,2.6,11,2,3,0.891,1
19,17,79.4,0.395,5.7,6,5,1,0.779,1
10,14,87.9,0.435,13.7,19,9,2,0.94,1
5,1,53.8,0.784,9.2,8,0,3,0.298,0
5,9,44.2,0.405,6.2,8,5,3,0.853,0
3,11,46.0,0.957,14.0,7,2,2,0.721,1
29,16,77.0,0.764,0.7,13,3,2,0.883,1
7,7,85.3,0.638,3.2,0,8,3,0.817,0
12,10,34.5,0.893,8.5,11,2,1,0.412,0
9,2,49.7,0.145,9.2,1,0,2,0.797,0
28,5,92.2,0.331,0.6,12,2,2,0.336,0
11,8,84.5,0.519,6.0,3,6,1,0.396,1
9,5,98.8,0.304,9.7,19,6,3,0.197,1
11,8,80.3,0.77,10.5,17,4,2,0.942,1
10,6,51.5,0.927,9.6,18,0,3,0.362,0
14,8,67.3,0.481,4.8,15,7,3,0.569,1
4,17,72.9,0.408,1.4,13,9,3,0.452,0
3,11,26.3,0.965,6.4,7,7,1,0.964,1
18,7,63.6,0.5,1.9,11,9,3,0.402,1
25,7,76.7,0.54,14.2,8,9,3,0.801,1
25,17,33.4,0.416,7.1,5,9,2,0.87,0
26,19,82.5,0.919,4.8,17,1,2,0.492,1
7,14,66.7,0.612,11.5,1,9,1,0.44,1
5,6,96.2,0.786,7.5,7,2,1,0.773,1
14,10,23.4,0.831,4.7,13,3,2,0.922,1
10,19,41.2,0.408,12.2,5,0,2,0.779,0
24,15,68.1,0.49,13.0,9,3,1,0.304,1
29,3,43.7,0.864,10.1,7,4,3,0.899,0
5,5,77.2,0.427,0.7,16,2,1,0.449,0
3,2,80.7,0.815,8.5,11,9,3,0.619,1
5,8,28.2,0.947,11.4,16,1,2,0.848,1
7,9,61.1,0.661,2.0,12,5,2,0.27,0
17,13,60.7,0.767,3.4,18,7,2,0.806,1
16,10,49.5,0.825,13.2,11,6,3,0.637,1
5,17,94.6,0.861,0.3,15,0,1,0.904,1
3,11,86.2,0.456,11.3,4,3,3,0.255,1
7,11,75.8,0.146,7.1,15,2,1,0.479,0
28,12,77.1,0.462,6.7,5,5,1,0.85,1
25,12,56.9,0.706,0.1,10,8,1,0.117,0
16,18,93.7,0.505,12.3,16,8,2,0.201,1
9,18,75.6,0.774,5.4,13,6,1,0.992,1
29,13,78.3,0.421,8.1,5,8,2,0.352,1
11,3,88.9,0.671,10.2,10,7,1,0.978,1
17,12,41.9,0.268,10.5,11,4,1,0.264,0
17,7,84.6,0.774,14.3,12,8,2,0.425,1
28,18,35.6,0.591,8.0,3,6,2,0.778,0
12,11,47.6,0.284,6.0,6,4,3,0.692,0
15,17,46.8,0.363,14.3,1,7,1,0.623,1
21,5,98.3,0.774,9.6,5,6,2,0.577,1
9,17,88.5,0.534,4.5,5,8,3,0.859,1
19,18,76.1,0.294,1.9,17,9,3,0.311,1
22,4,78.2,0.971,12.6,19,0,2,0.498,1
6,8,65.0,0.744,5.4,7,8,1,0.24,1
7,2,95.8,0.961,9.9,7,6,3,0.636,1
25,9,59.7,0.484,7.1,7,0,1,0.325,0
9,18,50.4,0.528,3.0,7,0,1,0.4,0
15,2,33.0,0.908,9.0,0,4,3,0.524,0
17,14,82.9,0.573,0.9,1,7,2,0.124,1
13,0,78.8,0.737,6.2,11,8,1,0.183,0
6,6,50.7,0.327,8.2,14,5,2,0.717,0
15,11,22.0,0.502,6.5,3,9,3,0.486,0
9,16,87.1,0.211,11.2,2,7,1,0.878,1
29,19,20.9,0.285,12.4,13,5,2,0.725,1
21,4,76.3,0.101,11.6,7,5,2,0.107,0
24,3,97.6,0.135,0.6,12,3,1,0.655,1
4,11,55.0,0.98,2.9,18,4,2,0.184,1
12,19,38.8,0.318,8.0,4,1,2,0.803,0
15,17,76.4,0.697,14.0,12,2,3,0.992,1
27,16,85.4,0.855,12.5,19,2,3,0.578,1
23,18,63.7,0.596,12.6,0,4,2,0.715,1
8,8,97.4,0.238,4.5,15,4,2,0.314,1
14,3,24.1,0.755,6.4,1,5,1,0.494,0
14,1,60.4,0.64,7.1,6,4,3,0.87,1
22,3,77.5,0.758,2.4,5,5,1,0.251,0
13,1,89.0,0.793,0.5,4,7,2,0.339,0
28,14,34.3,0.978,14.2,3,1,1,0.501,1
25,1,84.0,0.616,3.6,1,3,2,0.741,0
27,3,64.2,0.407,3.6,9,5,3,0.438,0
9,5,51.7,0.684,1.3,4,4,3,0.935,0
3,6,30.5,0.162,13.9,17,0,2,0.185,0
3,9,89.2,0.908,8.7,9,8,3,0.434,1
27,18,32.6,0.207,10.0,14,2,2,0.738,0
29,18,44.8,0.395,13.7,8,1,1,0.303,0
27,11,43.2,0.834,5.2,10,8,2,0.691,1
22,2,89.7,0.638,9.3,16,6,1,0.248,1
15,12,73.8,0.454,0.6,8,4,2,0.15,0
11,17,83.7,0.526,2.8,15,5,3,0.209,1
5,7,40.0,0.869,12.5,5,3,2,0.937,1
9,14,70.0,0.406,11.5,10,0,2,0.597,0
8,0,65.7,0.883,5.3,16,3,2,0.817,1
10,2,86.6,0.179,5.7,3,8,3,0.399,0
29,7,92.5,0.799,8.0,14,0,2,0.633,1
11,3,21.0,0.863,0.0,0,9,3,0.545,0
7,15,73.9,0.264,3.6,19,2,2,0.951,0
3,9,24.1,0.487,3.1,0,4,1,0.773,0
21,11,63.9,0.249,3.8,8,6,2,0.757,1
12,13,43.0,0.736,12.1,11,8,1,0.142,1
14,13,44.5,0.582,4.2,3,5,3,0.595,0
26,1,48.2,0.672,2.9,12,2,3,0.52,0
17,4,69.7,0.277,7.6,6,6,2,0.935,0
29,4,46.7,0.291,13.0,7,3,3,0.332,0
24,5,78.6,0.137,3.6,12,2,2,0.343,0
26,12,52.4,0.39,1.2,10,6,3,0.47,0
11,8,25.5,0.604,5.3,8,6,1,0.319,0
22,14,82.7,0.872,11.2,15,3,3,0.216,1
19,13,42.9,0.7,8.3,9,6,1,0.872,1
19,6,54.6,0.492,12.3,10,1,2,0.602,0
28,19,74.8,0.958,14.4,11,0,2,0.875,1
22,1,46.6,0.747,11.9,13,1,2,0.848,1
14,6,24.5,0.937,9.1,18,3,1,0.354,0
9,5,49.9,0.575,7.4,11,7,2,0.593,0
4,16,95.6,0.333,0.6,17,2,2,0.175,0
5,1,71.3,0.148,14.8,16,9,1,0.924,0
19,2,73.7,0.753,5.8,2,5,3,0.464,1
7,4,70.6,0.209,2.3,0,5,2,0.454,0
19,4,35.9,0.372,10.0,18,8,3,0.372,0
26,0,53.5,0.579,4.3,3,8,3,0.515,0
19,7,80.1,0.608,8.8,15,3,2,0.327,1
29,11,28.1,0.641,8.8,11,8,2,0.437,1
19,3,42.2,0.25,6.7,12,5,1,0.82,0
4,12,42.1,0.442,12.5,16,1,1,0.851,0
4,14,54.6,0.655,4.0,7,9,2,0.374,1
24,10,98.4,0.973,6.7,12,5,3,0.522,1
25,9,25.4,0.755,8.1,19,1,1,0.886,1
7,2,61.5,0.93,10.0,4,7,1,0.147,1
3,13,34.3,0.786,11.8,17,3,2,0.9,1
3,15,97.7,0.633,5.9,14,4,2,0.297,1
21,9,29.1,0.273,9.7,11,7,2,0.711,0
4,9,52.3,0.7,2.3,16,7,2,0.624,1
23,11,79.0,0.661,14.0,14,5,1,0.598,1
14,8,76.4,0.642,5.7,1,3,1,0.873,0
28,0,53.8,0.541,10.9,5,0,1,0.191,0
8,4,47.7,0.576,0.3,16,6,3,0.412,0
25,19,51.8,0.401,3.1,15,7,1,0.584,0
6,7,41.1,0.567,7.3,16,8,1,0.83,0
25,10,36.4,0.278,13.2,19,1,2,0.295,0
13,11,58.6,0.825,7.9,8,0,1,0.823,1
26,0,41.5,0.267,13.9,4,3,1,0.46,0
29,19,43.0,0.176,7.3,0,4,1,0.27,1
19,10,72.5,0.493,7.4,5,9,2,0.783,1
8,4,97.5,0.692,1.8,13,0,1,0.182,0
26,14,68.3,0.494,12.0,16,4,1,0.563,1
7,4,26.2,0.349,3.7,18,5,3,0.157,0
22,11,26.0,0.602,13.5,0,2,3,0.421,0
4,4,96.1,0.412,13.7,0,6,3,0.641,0
8,16,43.8,0.94,14.1,12,5,3,0.601,1
24,16,27.4,0.93,7.8,13,3,2,0.464,1
13,11,67.9,0.552,10.2,5,2,3,0.486,0
18,14,69.9,0.395,11.7,5,4,1,0.304,1
18,14,71.9,0.763,2.0,0,2,3,0.51,1
3,5,41.4,0.133,9.0,13,9,2,0.958,0
11,11,21.2,0.527,0.5,2,8,3,0.865,0
29,19,97.2,0.403,7.5,9,8,3,0.231,1
8,17,40.1,0.928,2.3,18,5,2,0.127,0
18,13,74.1,0.111,2.7,18,5,2,0.94,0
5,1,76.5,0.598,5.5,18,3,2,0.574,0
22,8,68.8,0.767,6.5,3,3,2,0.584,1
29,4,45.0,0.537,9.3,19,1,2,0.803,1
6,19,41.7,0.177,1.1,18,9,2,0.383,0
21,0,67.8,0.975,7.6,9,3,1,0.534,1
28,2,89.3,0.566,2.7,1,7,3,0.972,0
5,5,95.7,0.653,8.6,3,9,3,0.705,1
21,4,28.5,0.313,9.6,5,1,2,0.238,0
22,4,32.4,0.535,8.4,6,8,2,0.22,0
9,0,95.6,0.486,11.1,15,0,1,0.284,0
22,16,78.9,0.167,5.0,6,1,1,0.79,1
11,18,90.6,0.196,11.5,17,1,2,0.366,1
3,13,36.2,0.854,6.5,19,5,1,0.119,1
10,11,67.0,0.316,7.3,18,6,1,0.95,0
9,9,76.1,0.275,9.7,8,2,2,0.253,0
20,19,74.4,0.554,0.3,19,8,2,0.109,1
10,17,52.7,0.792,9.8,9,4,2,0.313,1
3,10,21.2,0.156,9.3,12,4,2,0.312,0
13,1,66.6,0.619,4.6,17,3,3,0.48,0
27,17,40.2,0.207,1.3,15,8,3,0.928,0
27,6,56.0,0.133,1.4,16,7,2,0.891,0
20,14,96.6,0.147,13.8,12,3,1,0.511,1
25,10,51.9,0.851,10.3,11,3,2,0.47,1
12,17,87.2,0.206,1.9,9,1,3,0.6,1
5,11,35.1,0.141,5.4,0,8,1,0.319,0
9,5,73.8,0.494,8.9,7,2,3,0.147,0
18,19,98.2,0.86,12.5,17,3,2,0.945,1
28,12,28.2,0.336,0.7,1,6,3,0.268,0
18,19,20.7,0.48,3.5,15,9,3,0.279,0
27,15,54.7,0.136,13.3,11,7,3,0.525,1
22,17,27.4,0.504,0.1,8,7,1,0.542,0
19,9,79.9,0.62,3.0,2,3,3,0.117,0
4,7,93.2,0.614,14.4,3,6,1,0.233,1
3,17,54.7,0.399,9.2,1,9,2,0.44,1
18,0,40.7,0.384,3.9,7,0,2,0.715,0
14,7,54.8,0.196,1.0,9,5,3,0.306,0
7,5,77.9,0.43,0.4,15,5,1,0.481,1
7,4,20.7,0.19,3.7,10,5,2,0.602,0
29,14,67.2,0.79,13.2,17,1,1,0.9,1
25,14,69.1,0.97,6.2,13,7,1,0.393,1
11,1,71.0,0.973,10.8,7,4,3,0.22,0
11,0,39.4,0.879,13.8,14,4,3,0.54,0
5,10,77.1,0.641,6.1,16,1,1,0.772,1
21,9,27.3,0.731,2.9,17,3,1,0.199,0
18,17,35.9,0.357,7.8,5,8,3,0.482,0
18,17,90.2,0.668,13.6,13,8,1,0.116,1
5,16,79.1,0.51,12.1,2,5,3,0.13,1
22,7,21.1,0.534,1.0,6,8,1,0.535,0
26,14,39.9,0.782,10.4,14,3,3,0.368,1
24,7,37.2,0.354,8.6,15,0,1,0.861,0
26,16,41.7,0.386,13.6,15,1,3,0.642,0
3,11,39.8,0.932,1.8,7,0,1,0.509,0
26,7,25.0,0.151,8.0,6,7,2,0.467,0
22,13,56.7,0.537,13.2,5,8,2,0.548,1
13,3,78.6,0.922,6.2,1,9,1,0.136,1
19,0,68.5,0.649,7.2,12,5,2,0.904,0
10,0,73.8,0.592,1.1,11,1,1,0.998,0
6,18,26.5,0.325,4.2,14,5,1,0.263,0
8,15,96.1,0.409,4.9,8,8,2,0.208,1
10,13,87.1,0.867,14.2,1,2,1,0.229,1
22,15,84.4,0.603,4.2,16,8,3,0.695,1
5,4,85.8,0.563,6.9,4,1,1,0.695,0
18,8,94.6,0.19,10.1,10,4,1,0.863,0
27,1,63.5,0.114,2.4,18,1,2,0.777,0
5,17,36.0,0.967,7.3,6,6,3,0.505,0
27,5,69.3,0.439,11.1,1,9,1,0.652,1
20,8,79.4,0.643,13.0,15,8,1,0.719,1
16,0,79.0,0.172,9.4,11,6,1,0.561,0
20,8,61.7,0.715,10.0,14,4,1,0.528,1
4,15,25.5,0.939,1.9,0,3,1,0.681,0
24,12,49.7,0.618,14.2,12,3,1,0.602,1
5,8,93.7,0.214,2.0,5,9,3,0.68,1
18,12,66.8,0.624,11.6,12,7,3,0.652,1
11,8,63.1,0.79,4.0,17,9,1,0.747,1
6,10,41.5,0.466,14.0,2,9,1,0.679,0
3,3,49.5,0.892,10.8,0,9,2,0.568,0
6,1,91.6,0.684,11.3,14,9,3,0.714,1
3,5,73.3,0.909,3.3,12,9,3,0.505,1
16,13,83.0,0.661,6.6,4,0,1,0.318,1
23,3,56.3,0.218,9.3,12,4,3,0.101,0
18,5,70.4,0.379,11.5,4,1,3,0.604,0
22,18,39.9,0.282,1.6,18,8,2,0.632,1
26,5,76.4,0.918,14.4,17,6,2,0.975,1
10,1,54.2,0.784,13.4,9,9,3,0.425,0
9,17,55.4,0.709,4.1,7,7,3,0.455,1
5,12,71.9,0.371,12.3,14,5,3,0.282,0
19,8,94.9,0.266,7.8,19,8,1,0.163,1
3,18,25.1,0.781,6.9,3,5,2,0.796,0
18,12,86.0,0.527,4.7,1,6,1,0.325,1
14,10,43.4,0.303,8.7,5,6,2,0.648,1
29,0,55.5,0.655,10.9,2,8,2,0.719,0
21,6,21.8,0.136,6.2,6,7,2,0.524,0
24,14,44.1,0.394,9.4,9,0,3,0.889,0
25,0,60.2,0.522,10.5,5,3,2,0.499,0
24,11,24.5,0.233,10.7,15,6,1,0.356,0
16,6,59.3,0.986,0.8,1,7,2,0.906,1
8,14,94.2,0.288,12.9,16,6,1,0.875,1
8,18,28.4,0.217,6.9,12,2,2,0.248,0
15,0,81.2,0.283,3.9,0,3,2,0.123,0
21,16,52.8,0.792,3.6,5,6,3,0.181,1
24,16,72.4,0.483,7.2,4,7,1,0.358,1
10,2,40.8,0.609,13.3,12,6,2,0.975,0
29,11,32.8,0.119,5.7,17,5,2,0.603,0
29,5,32.8,0.131,11.2,11,8,1,0.436,0
4,10,25.6,0.501,1.5,6,8,2,0.9,0
23,2,34.9,0.835,7.1,14,6,3,0.508,0
3,7,73.1,0.897,14.9,2,7,1,0.384,0
17,13,90.5,0.178,11.6,15,5,3,0.947,1
3,13,85.1,0.585,3.2,0,0,1,0.865,0
7,9,74.8,0.922,7.5,15,0,1,0.859,1
18,1,28.8,0.449,3.5,11,5,1,0.561,0
21,13,43.1,0.847,6.1,18,1,2,0.81,0
6,8,44.8,0.22,11.7,7,7,1,0.261,0
5,2,40.0,0.942,11.6,11,0,1,0.616,0
19,7,61.2,0.776,3.4,14,1,1,0.985,1
19,15,62.8,0.947,13.8,1,7,3,0.362,1
14,1,48.6,0.709,8.9,16,5,1,0.815,0
16,5,48.3,0.427,5.7,6,9,2,0.541,0
23,11,86.3,0.944,7.5,12,1,1,0.136,1
8,4,83.1,0.348,9.1,0,1,1,0.787,0
5,1,44.6,0.399,8.4,5,6,3,0.252,0
11,15,93.1,0.731,7.3,12,4,2,0.668,1
7,4,96.2,0.789,7.6,10,4,2,0.177,1
26,14,46.1,0.936,2.6,9,7,2,0.952,1
19,11,48.4,0.284,12.2,15,6,1,0.363,1
16,3,60.5,0.818,8.1,19,8,1,0.304,1
23,14,95.3,0.765,2.0,16,3,2,0.216,1
5,10,90.1,0.157,11.5,16,9,2,0.951,1
3,15,28.2,0.449,14.0,3,3,3,0.741,0
22,5,51.4,0.354,14.2,4,1,2,0.767,0
23,13,64.3,0.374,5.5,13,2,1,0.549,0
25,17,60.3,0.985,2.0,19,0,1,0.527,1
3,11,35.5,0.678,7.8,9,0,1,0.199,0
5,10,88.7,0.746,1.7,13,6,3,0.604,1
20,12,74.2,0.979,14.0,0,4,2,0.322,1
27,10,87.0,0.439,2.8,10,2,1,0.979,1
12,15,88.7,0.822,3.8,17,6,3,0.817,1
24,14,79.9,0.491,6.1,15,1,3,0.472,0
28,14,55.1,0.883,5.7,17,2,1,0.236,1
5,3,68.8,0.263,11.9,7,0,3,0.807,0
10,10,32.8,0.953,6.8,9,7,3,0.21,1
16,18,73.9,0.297,2.6,9,1,1,0.27,1
26,14,34.3,0.394,4.0,4,6,3,0.29,0
20,3,75.5,0.781,7.6,9,8,1,0.601,1
17,12,38.4,0.454,2.2,17,5,1,0.808,0
24,18,29.4,0.647,9.2,5,1,3,0.383,1
25,1,33.2,0.5,8.5,2,1,1,0.176,0
4,13,20.2,0.768,10.7,7,8,1,0.518,0
29,3,77.5,0.305,14.1,8,9,2,0.773,1
12,15,78.6,0.153,13.7,4,7,1,0.299,1
4,19,61.2,0.37,14.2,1,8,2,0.298,1
28,13,32.9,0.527,3.7,1,3,2,0.953,0
19,14,26.7,0.251,2.0,6,3,2,0.959,0
10,2,21.5,0.419,4.5,16,1,2,0.991,0
3,7,33.3,0.46,13.4,9,9,3,0.827,0
11,15,91.3,0.152,14.6,11,0,3,0.269,1
13,9,39.3,0.625,12.9,1,9,1,0.291,0
24,3,48.3,0.896,1.7,9,3,1,0.406,0
18,17,28.4,0.237,14.2,19,9,1,0.386,0
9,1,37.8,0.638,6.4,0,9,3,0.961,0
12,16,61.5,0.698,0.1,3,7,2,0.81,1
25,12,68.6,0.477,6.6,12,1,3,0.752,1
28,3,39.6,0.731,0.7,11,7,3,0.267,0
5,10,24.6,0.47,8.2,10,0,1,0.919,0
20,6,51.3,0.554,5.1,9,0,1,0.845,0
27,11,38.7,0.107,7.1,14,3,1,0.247,0
26,9,37.6,0.723,9.2,4,6,2,0.884,0
15,6,96.8,0.695,13.0,16,8,2,0.345,1
28,12,69.3,0.135,9.9,4,4,3,0.173,0
9,6,64.6,0.431,6.5,1,1,2,0.691,0
27,16,53.3,0.981,12.3,8,6,1,0.688,1
6,9,54.3,0.479,13.6,5,1,2,0.185,0
15,9,63.3,0.552,1.8,17,8,2,0.387,1
22,3,75.7,0.919,8.0,13,8,2,0.994,1
3,19,76.2,0.746,4.3,18,2,2,0.711,0
10,3,33.7,0.624,0.7,13,7,1,0.757,0
16,6,60.0,0.818,10.0,7,3,1,0.292,0
18,0,53.0,0.878,12.9,16,2,3,0.171,0
16,11,89.6,0.511,2.4,2,0,3,0.349,1
14,12,70.5,0.528,12.2,9,4,3,0.324,0
21,9,62.6,0.447,12.8,16,3,2,0.311,1
25,14,29.2,0.97,13.7,10,0,2,0.273,0
17,12,68.5,0.727,4.0,7,9,1,0.617,1
4,8,29.4,0.175,13.6,0,7,3,0.395,0
4,8,47.0,0.877,4.8,12,7,1,0.838,1
25,14,31.4,0.533,8.3,3,7,3,0.266,0
24,9,75.4,0.162,0.8,6,2,3,0.518,0
21,9,36.5,0.595,0.7,13,5,3,0.112,0
27,7,51.3,0.475,10.8,4,6,2,0.534,1
28,15,91.7,0.89,6.7,10,8,3,0.15,1
24,16,36.3,0.284,3.8,16,4,3,0.98,0
28,4,60.6,0.844,2.9,4,8,2,0.812,0
28,3,53.5,0.602,10.0,19,5,3,0.541,0
24,17,21.4,0.149,0.0,2,9,2,0.178,0
19,18,83.4,0.975,12.1,4,9,2,0.633,1
22,3,25.5,0.561,1.2,14,9,1,0.783,0
12,6,57.9,0.362,2.9,18,3,2,0.272,0
8,9,64.9,0.522,5.8,15,0,2,0.611,0
17,17,70.3,0.872,7.3,7,0,2,0.833,1
24,18,75.1,0.374,5.3,12,9,3,0.791,1
13,3,40.3,0.273,4.8,15,4,1,0.823,0
7,9,20.8,0.216,14.5,2,2,3,0.891,0
3,0,77.9,0.368,9.6,0,4,2,0.944,0
10,17,62.9,0.802,0.4,8,4,2,0.465,1
23,4,86.9,0.524,6.5,8,0,1,0.612,1
14,14,85.7,0.305,13.1,16,7,1,0.812,1
14,16,87.5,0.25,4.5,1,4,2,0.727,0
7,2,58.8,0.399,1.4,8,4,2,0.996,0
9,11,46.7,0.946,11.4,18,8,3,0.112,1
6,1,83.3,0.409,9.1,12,7,2,0.42,1
8,0,56.1,0.989,8.6,4,0,3,0.353,0
15,16,34.7,0.537,0.8,8,2,1,0.336,0
22,15,88.4,0.261,2.1,12,6,3,0.3,1
17,4,90.6,0.902,9.3,0,0,2,0.738,1
5,14,57.3,0.514,3.1,14,0,3,0.176,0
25,2,26.1,0.739,7.6,3,4,3,0.767,0
10,6,51.0,0.985,8.2,3,8,1,0.724,1
22,10,84.3,0.145,4.3,19,5,3,0.326,0
18,9,92.1,0.187,14.2,9,9,2,0.328,1
15,8,36.3,0.748,12.6,5,1,3,0.666,0
20,13,25.4,0.354,10.8,11,8,3,0.786,0
12,12,90.2,0.266,1.2,19,5,3,0.889,1
21,1,51.2,0.135,1.6,15,4,2,0.867,0
19,2,63.3,0.12,7.4,2,4,3,0.968,0
